a	ˈ aː
íbúðarhús	ˈ iː p u ð a r h ˌ u s
íbúðarhúsi	ˈ iː p u ð a r h ˌ u s ɪ
íbúðarhúsið	ˈ iː p u ð a r h ˌ u s ɪ ð
íbúðarhúsnæði	ˈ iː p u ð a r h ˌ u s n ai ð ɪ
íbúðarhúsnæðis	ˈ iː p u ð a r h ˌ u s n ai ð ɪ s
íbúðarinnar	ˈ iː p u ð a r ɪ n a r
íbúðaverð	ˈ iː p u ð a v ˌ ɛ r ð
íbúðaverðs	ˈ iː p u ð a v ˌ ɛ r ð s
íbúðin	ˈ iː p u ð ɪ n
íbúðina	ˈ iː p u ð ɪ n a
íbúðinni	ˈ iː p u ð ɪ n ɪ
íbúðir	ˈ iː p u ð ɪ r
íbúðirnar	ˈ iː p u ð ɪ r t n a r
íbúðum	ˈ iː p u ð ʏ m
íbúðunum	ˈ iː p u ð ɔ n ʏ m
ídeólógíska	ˈiː t ɛ ou l ou c i s k a
ígildi	ˈ i c ɪ l t ɪ
ígulker	ˈ iː ɣ ʏ l cʰ ɛ r
íhald	ˈ iː h a l t
íhaldið	ˈ iː h a l t ɪ ð
íhaldsflokksins	ˈ iː h a l t s f l ɔ h k s ɪ n s
íhaldsflokkurinn	ˈ iː h a l t s f l ɔ h k ʏ r ɪ n
íhaldsmanna	ˈ iː h a l t s m a n a
íhaldsmenn	ˈ iː h a l t s m ɛ n
íhaldsseggir	ˈiː h a l t s ɛ c ɪ r
íhaldssemi	ˈ iː h a l t s ɛ m ɪ
íhlutun	ˈ i l̥ ʏ t ʏ n
íhlutunarferlinu	ˈiː l̥ ʏ t ʏ n a r̥ f ɛ r t l ɪ n ʏ
íhuga	ˈ iː h ʏ ɣ a
íhugar	ˈ iː h ʏ ɣ a r
íhugað	ˈ iː h ʏ ɣ a ð
íhugaði	ˈ iː h ʏ ɣ a ð ɪ
íhugi	ˈ iː h ʏi j ɪ
íhugull	ˈ iː h ʏ ɣ ʏ t l̥
íhugun	ˈ iː h ʏ ɣ ʏ n
íklædd	ˈ iː kʰ l ai t
íklæddur	ˈ i kʰ l ai t ʏ r
íkveikju	ˈ iː kʰ v ei c ʏ
íls	ˈ i l s
ímynd	ˈ iː m ɪ n t
ímynda	ˈ iː m ɪ n t a
ímyndað	ˈ iː m ɪ n t a ð
ímyndunarafl	ˈ iː m ɪ n t ʏ n a r ˌ a p l̥
íra	ˈ iː r a
írafár	ˈ iː r a f ˌ au r
írak	ˈ iː r a k
íraka	ˈ iː r a k a
írakar	ˈ iː r a k a r
íraks	ˈ iː r a k s
íran	ˈ iː r a n
írana	ˈ iː r a n a
íranar	ˈ iː r a n a r
írans	ˈ iː r a n s
íranska	ˈ iː r a n s k a
írar	ˈ iː r a r
íraska	ˈ iː r a s k a
írb	ˈi r p
íris	ˈ iː r ɪ s
írisi	ˈ iː r ɪ s ɪ
írland	ˈ i r l a n t
írlandi	ˈ i r l a n t ɪ
írlands	ˈ i r l a n t s
írsk	ˈ i r̥ s k
írska	ˈ i r̥ s k a
írski	ˈ i r̥ s c ɪ
írskt	ˈ i r̥ s t
írsku	ˈ i r̥ s k ʏ
írskum	ˈ i r̥ s k ʏ m
írskuna	ˈi r̥ s k ʏ n a
írskur	ˈ i r̥ s k ʏ r
írum	ˈ iː r ʏ m
írönum	ˈ iː r œ n ʏ m
írösku	ˈ iː r œ s k ʏ
ís	ˈ iː s
ísabella	ˈ iː s a p ˌ ɛ l a
ísafirði	ˈ iː s a f ˌ ɪ r ð ɪ
ísafjarðar	ˈ iː s a f j ˌ a r ð a r
ísafjarðarbæ	ˈ iː s a f j a r ð a r p ai
ísafjarðarbæjar	ˈ iː s a f j a r ð a r p ˌ ai j a r
ísafjarðardjúp	ˈ iː s a f j a r ð a r t j ˌ u p
ísafjarðardjúpi	ˈ iː s a f j a r ð a r t j ˌ u p ɪ
ísafjarðarkirkju	ˈ iː s a f j a r ð a r cʰ ˌ ɪ r̥ c ʏ
ísafjarðarprófastsdæma	ˈiː s a f j a r ð a r̥ pʰ r ou f a s t s t ai m a
ísafjarðarsýslu	ˈ iː s a f j a r ð a r s ˌ i s t l ʏ
ísafjörð	ˈ iː s a f j ˌ œ r ð
ísafjörður	ˈ iː s a f j ˌ œ r ð ʏ r
ísafold	ˈ iː s a f ˌ ɔ l t
ísak	ˈ iː s a k
ísal	ˈ iː s a l
ísberg	ˈ iː s p ɛ r k
ísbjörn	ˈ iː s p j œ r t n̥
ísfirðinga	ˈ iː s f ɪ r ð i ŋ k a
ísfirðingar	ˈ iː s f ɪ r ð i ŋ k a r
ísfisktogaranum	ˈiː s f ɪ s k tʰ ɔ ɣ a r a n ʏ m
ísfélagið	ˈ iː s f j ɛ l ai j ɪ ð
íshjúpnum	ˈiː s ç u h p n ʏ m
íshokkí	ˈ iː s h ɔ h c i
ísinn	ˈ iː s ɪ n
ísjakarnir	ˈ iː s j a k a r t n ɪ r
ískalt	ˈ iː s kʰ a l̥ t
ísl	ˈi s t l
íslam	ˈ i s t l a m
íslamista	ˈ i s t l a m ɪ s t a
íslams	ˈ i s t l a m s
íslamska	ˈ i s t l a m s k a
íslamskra	ˈ i s t l a m s k r a
ísland	ˈ iː s l a n t
íslandi	ˈ iː s l a n t ɪ
íslands	ˈ iː s l a n t s
íslandsbanka	ˈ iː s l a n t s p ˌ au ŋ̊ k a
íslandsbanki	ˈ iː s l a n t s p ˌ au ɲ̊ c ɪ
íslandsdeild	ˈ iː s l a n t s t ˌ ei l t
íslandsdeildar	ˈ iː s l a n t s t ˌ ei l t a r
íslandsfengs	ˈiː s l a n t s f ˌei ŋ s
íslandsflugs	ˈ iː s l a n t s f l ˌ ʏ x s
íslandsklukkan	ˈ iː s l a n t s kʰ l ˌ ʏ h k a n
íslandsklukkunni	ˈ iː s l a n t s kʰ l ˌ ʏ h k ʏ n ɪ
íslandsmeistara	ˈ iː s l a n t s m ˌ ei s t a r a
íslandsmeistarans	ˈiː s l a n t s m ˌei s t a r a n s
íslandsmeistarar	ˈ iː s l a n t s m ˌ ei s t a r a r
íslandsmeistararnir	ˈ iː s l a n t s m ˌ ei s t a r a r t n ɪ r
íslandsmeistaratitil	ˈ iː s l a n t s m ˌ ei s t a r a tʰ ɪ t ɪ l
íslandsmeistaratitilinn	ˈ iː s l a n t s m ˌ ei s t a r a tʰ ˌ ɪ t ɪ l ɪ n
íslandsmeistaratitlinum	ˈ iː s l a n t s m ˌ ei s t a r a tʰ ˌ ɪ h t l ɪ n ʏ m
íslandsmeistari	ˈ iː s l a n t s m ˌ ei s t a r ɪ
íslandsmeisturum	ˈ iː s l a n t s m ˌ ei s t ʏ r ʏ m
íslandsmet	ˈ iː s l a n t s m ˌ ɛ t
íslandsmetið	ˈ iː s l a n t s m ˌ ɛ t ɪ ð
íslandsmiðum	ˈ iː s l a n t s m ˌ ɪ ð ʏ m
íslandsmóti	ˈ iː s l a n t s m ˌ ou t ɪ
íslandsmótinu	ˈ iː s l a n t s m ˌ ou t ɪ n ʏ
íslandsmótið	ˈ iː s l a n t s m ˌ ou t ɪ ð
íslandsmóts	ˈ iː s l a n t s m ˌ ou t s
íslandsmótsins	ˈ iː s l a n t s m ˌ ou t s ɪ n s
íslandspósti	ˈ iː s l a n t s pʰ ˌ ou s t ɪ
íslandspóstur	ˈ iː s l a n t s pʰ ˌ ou s t ʏ r
íslandssaga	ˈ iː s l a n t s s ˌ a ɣ a
íslandsskeið	ˈiː s l a n t s s c ˌei ð
íslandsstofu	ˈ iː s l a n t s s t ˌ ɔ v ʏ
íslandsstrendur	ˈ iː s l a n t s s t r ˌ ɛ n t ʏ r
íslandssíma	ˈ iː s l a n t s s ˌ i m a
íslandssögunnar	ˈ iː s l a n t s s ˌ œ ɣ ʏ n a r
íslandssögunni	ˈ iː s l a n t s s ˌ œ ɣ ʏ n ɪ
íslandsvinurinn	ˈ iː s l a n t s v ɪ n ʏ r ɪ n
ísleifs	ˈ iː s t l ei f s
ísleifsson	ˈ iː s t l ei f s s ˌ ɔ n
ísleifur	ˈ iː s t l ei v ʏ r
íslending	ˈ iː s l ɛ n t i ŋ k
íslendinga	ˈ iː s l ɛ n t i ŋ k a
íslendingaliðið	ˈ iː s l ɛ n t i ŋ k a l ˌ ɪ ð ɪ ð
íslendinganna	ˈ iː s l ɛ n t i ŋ k a n a
íslendingar	ˈ iː s l ɛ n t i ŋ k a r
íslendingarnir	ˈ iː s l ɛ n t i ŋ k a r t n ɪ r
íslendingi	ˈ iː s l ɛ n t i ɲ c ɪ
íslendings	ˈ iː s l ɛ n t i ŋ s
íslendingum	ˈ iː s l ɛ n t i ŋ k ʏ m
íslendingunum	ˈ iː s l ɛ n t i ŋ k ɔ n ʏ m
íslendingur	ˈ iː s l ɛ n t i ŋ k ʏ r
íslendingurinn	ˈ iː s l ɛ n t i ŋ k ʏ r ɪ n
íslensk	ˈ i s t l ɛ n s k
íslenska	ˈ i s t l ɛ n s k a
íslenskan	ˈ i s t l ɛ n s k a n
íslenskar	ˈ i s t l ɛ n s k a r
íslenski	ˈ i s t l ɛ n s c ɪ
íslenskir	ˈ i s t l ɛ n s c ɪ r
íslenskra	ˈ i s t l ɛ n s k r a
íslenskrar	ˈ i s t l ɛ n s k r a r
íslenskri	ˈ i s t l ɛ n s k r ɪ
íslensks	ˈ i s t l ɛ n s k s
íslenskt	ˈ i s t l ɛ n s t
íslensku	ˈ i s t l ɛ n s k ʏ
íslenskum	ˈ i s t l ɛ n s k ʏ m
íslenskuna	ˈ i s t l ɛ n s k ʏ n a
íslenskur	ˈ i s t l ɛ n s k ʏ r
íslömskum	ˈ i s t l œ m s k ʏ m
ísnum	ˈ i s t n ʏ m
ísold	ˈ iː s ɔ l t
ísrael	ˈ iː s r a ɛ l
ísraela	ˈ iː s r a ɛ l a
ísraelar	ˈ iː s r a ɛ l a r
ísraels	ˈ iː s r a ɛ l s
ísraelsher	ˈ iː s r a ɛ l s h ˌ ɛ r
ísraelshers	ˈ iː s r a ɛ l s h ˌ ɛ r̥ s
ísraelsk	ˈ iː s r a ɛ l s k
ísraelska	ˈ iː s r a ɛ l s k a
ísraelski	ˈ iː s r a ɛ l s c ɪ
ísraelskir	ˈ iː s r a ɛ l s c ɪ r
ísraelskra	ˈ iː s r a ɛ l s k r a
ísraelsku	ˈ iː s r a ɛ l s k ʏ
ísraelskum	ˈ iː s r a ɛ l s k ʏ m
ísraelsmanna	ˈ iː s r a ɛ l s m ˌ a n a
ísraelsmenn	ˈ iː s r a ɛ l s m ˌ ɛ n
ísskáp	ˈ iː s s k au p
ísskápnum	ˈ iː s s k au h p n ʏ m
ísskápur	ˈ iː s s k au p ʏ r
íst	ˈiː s t
ístak	ˈ iː s tʰ a k
ístölt	ˈiː s tʰ œ l̥ t
ísí	ˈiː s i
ísólfsson	ˈ iː s ou l f s ɔ n
ísólfur	ˈ iː s ou l v ʏ r
ítala	ˈ iː tʰ a l a
ítali	ˈ iː tʰ a l ɪ
ítalinn	ˈ iː tʰ a l ɪ n
ítalir	ˈ iː tʰ a l ɪ r
ítalska	ˈ iː tʰ a l s k a
ítalski	ˈ iː tʰ a l s c ɪ
ítalskir	ˈ iː tʰ a l s c ɪ r
ítalskt	ˈ iː tʰ a l s t
ítalskur	ˈ iː tʰ a l s k ʏ r
ítalía	ˈ iː tʰ a l i j a
ítalíu	ˈ iː tʰ a l i j ʏ
ítarleg	ˈ iː t a r l ɛ ɣ
ítarlega	ˈ iː t a r l ɛ ɣ a
ítarlegar	ˈ iː tʰ a r l ɛ ɣ a r
ítarlegri	ˈ iː t a r l ɛ ɣ r ɪ
ítarlegt	ˈ iː t a r l ɛ x t
ítarlegu	ˈ iː t a r l ɛ ɣ ʏ
ítarlegum	ˈ iː t a r l ɛ ɣ ʏ m
ítarlegur	ˈ iː t a r l ɛ ɣ ʏ r
ítr	ˈiː t r
ítrasta	ˈ iː t r a s t a
ítreka	ˈ iː t r ɛ k a
ítrekar	ˈ iː t r ɛ k a r
ítrekað	ˈ iː t r ɛ k a ð
ítrekaðar	ˈ iː tʰ r ɛ k a ð a r
ítrekaði	ˈ iː tʰ r ɛ k a ð ɪ
ítrekuð	ˈ iː t r ɛ k ʏ ð
ítrekuðum	ˈ iː tʰ r ɛ k ʏ ð ʏ m
ítök	ˈ iː tʰ œ k
ítölsk	ˈ iː tʰ œ l s k
ítölsku	ˈ iː tʰ œ l s k ʏ
ítölskum	ˈ iː tʰ œ l s k ʏ m
ítölum	ˈ iː tʰ œ l ʏ m
ívafi	ˈ iː v a v ɪ
ívar	ˈ iː v a r
ívari	ˈ iː v a r ɪ
ívars	ˈ iː v a r̥ s
ívarsdóttir	ˈ iː v a r̥ s t ˌ ou h t ɪ r
ívarsson	ˈ iː v a r̥ s s ˌ ɔ n
ívilnanir	ˈ iː v ɪ l n a n ɪ r
ívið	ˈ iː v ɪ ð
íðorðasafnið	ˈiː ð ɔ r ð a s a p n ɪ ð
íþrótt	ˈ iː θ r ou h t
íþrótta	ˈ iː θ r ou h t a
íþróttablaði	ˈiː θ r ou h t a p l ˌa ð ɪ
íþróttadeild	ˈ iː θ r ou h t a t ˌ ei l t
íþróttafatnað	ˈ iː θ r ou h t a f ˌ a h t n a ð
íþróttafréttamaður	ˈ iː θ r ou h t a f r j ˌ ɛ h t a m a ð ʏ r
íþróttafélaga	ˈ iː θ r ou h t a f j ˌ ɛ l a ɣ a
íþróttafélaganna	ˈ iː θ r ou h t a f j ˌ ɛ l a ɣ a n a
íþróttafélög	ˈ iː θ r ou h t a f j ˌ ɛ l œ ɣ
íþróttafólk	ˈ iː θ r ou h t a f ˌ ou l̥ k
íþróttagalla	ˈ iː θ r ou h t a k ˌ a l a
íþróttagallana	ˈiː θ r ou h t a k ˌa l a n a
íþróttagallann	ˈiː θ r ou h t a k ˌa t l a n
íþróttagallanna	ˈiː θ r ou h t a k ˌa l a n a
íþróttagallans	ˈiː θ r ou h t a k ˌa l a n s
íþróttagallanum	ˈiː θ r ou h t a k ˌa l a n ʏ m
íþróttagallar	ˈiː θ r ou h t a k ˌa l a r
íþróttagallarnir	ˈiː θ r ou h t a k ˌa t l a r t n ɪ r
íþróttagalli	ˈiː θ r ou h t a k ˌa l ɪ
íþróttagallinn	ˈiː θ r ou h t a k ˌa l ɪ n
íþróttagreinum	ˈ iː θ r ou h t a k r ˌ ei n ʏ m
íþróttagöllum	ˈiː θ r ou h t a k ˌœ l ʏ m
íþróttagöllunum	ˈiː θ r ou h t a k ˌœ l ɔ n ʏ m
íþróttahreyfingarinnar	ˈ iː θ r ou h t a r̥ ˌ ei v i ŋ k a r ɪ n a r
íþróttahöllinni	ˈ iː θ r ou h t a h ˌ œ t l ɪ n ɪ
íþróttahöllum	ˈiː θ r ou h t a h ˌœ t l ʏ m
íþróttahús	ˈ iː θ r ou h t a h ˌ u s
íþróttahúsi	ˈ iː θ r ou h t a h ˌ u s ɪ
íþróttahúsinu	ˈ iː θ r ou h t a h ˌ u s ɪ n ʏ
íþróttahúsið	ˈ iː θ r ou h t a h ˌ u s ɪ ð
íþróttaiðkun	ˈ iː θ r ou h t a ˌ ɪ θ k ʏ n
íþróttakennari	ˈ iː θ r ou h t a cʰ ˌ ɛ n a r ɪ
íþróttamanna	ˈ iː θ r ou h t a m ˌ a n a
íþróttamannanefnd	ˈiː θ r ou h t a m a n a n ɛ m t
íþróttamaður	ˈ iː θ r ou h t a m ˌ a ð ʏ r
íþróttamenn	ˈ iː θ r ou h t a m ˌ ɛ n
íþróttamiðstöðinni	ˈ iː θ r ou h t a m ɪ ð s t œ ð ɪ n ɪ
íþróttamála	ˈ iː θ r ou h t a m ˌ au l a
íþróttamönnum	ˈ iː θ r ou h t a m ˌ œ n ʏ m
íþróttarinnar	ˈ iː θ r ou h t a r ɪ n a r
íþróttastjórnun	ˈiː θ r ou h t a s t j ˌou r t n ʏ n
íþróttasvæði	ˈ iː θ r ou h t a s v ˌ ai ð ɪ
íþróttavellinum	ˈ iː θ r ou h t a v ˌ ɛ t l ɪ n ʏ m
íþróttin	ˈ iː θ r ou h t ɪ n
íþróttina	ˈ iː θ r ou h t ɪ n a
íþróttinni	ˈ iː θ r ou h t ɪ n ɪ
íþróttir	ˈ iː θ r ou h t ɪ r
íþróttum	ˈ iː θ r ou h t ʏ m
íþyngjandi	ˈ iː θ i ɲ c a n t ɪ
ð	ˈ ɛː ð
ó	ˈ ouː
óalgengt	ˈ ouː a l c ei ŋ̊ t
óaðlaðandi	ˈ ouː a ð l a ð a n t ɪ
óbein	ˈ ouː p ei n
óbeina	ˈ ouː p ei n a
óbeinn	ˈ ouː p ei t n̥
óbeint	ˈ ouː p ei n̥ t
óbeinum	ˈ ouː p ei n ʏ m
óbilandi	ˈ ouː p ɪ l a n t ɪ
óbreytt	ˈ ouː p r ei h t
óbreytta	ˈ ouː p r ei h t a
óbreyttar	ˈ ouː p r ei h t a r
óbreyttir	ˈ ouː p r ei h t ɪ r
óbreyttra	ˈ ouː p r ei h t r a
óbreyttri	ˈ ouː p r ei h t r ɪ
óbreyttu	ˈ ouː p r ei h t ʏ
óbreyttum	ˈ ouː p r ei h t ʏ m
óbreyttur	ˈ ouː p r ei h t ʏ r
óburstaða	ˈouː p ʏ r̥ s t a ð a
óbyggðanefnd	ˈ ouː p ɪ ɣ ð a n ˌ ɛ m t
óbyggðanefndar	ˈ ouː p ɪ ɣ ð a n ˌ ɛ m t a r
óbyggðum	ˈ ouː p ɪ ɣ ð ʏ m
óbó	ˈ ouː p ou
óbótaskömmum	ˈouː p ou t a s k ˌœ m ʏ m
ódæðisverk	ˈ ouː t ai ð ɪ s v ˌ ɛ r̥ k
ódýr	ˈ ouː t i r
ódýra	ˈ ouː t i r a
ódýrar	ˈ ouː t i r a r
ódýrara	ˈ ouː t i r a r a
ódýrari	ˈ ouː t i r a r ɪ
ódýrast	ˈ ouː t i r a s t
ódýrasta	ˈ ouː t i r a s t a
ódýrt	ˈ ouː t i r̥ t
ódýru	ˈ ouː t i r ʏ
ódýrum	ˈ ouː t i r ʏ m
ódýrustu	ˈ ouː t i r ʏ s t ʏ
óefni	ˈ ouː ɛ p n ɪ
óeigingjarnt	ˈ ouː ei j ɪ ɲ c a n̥ t
óeinkennisklæddir	ˈ ouː ei ɲ cʰ ɛ n ɪ s kʰ l ˌ ai t ɪ r
óeirðir	ˈ ouː ei r ð ɪ r
óendanlega	ˈ ouː ɛ n t a n l ɛ ɣ a
óeðlileg	ˈ ouː ɛ ð l ɪ l ɛ ɣ
óeðlilega	ˈ ouː ɛ ð l ɪ l ɛ ɣ a
óeðlilegar	ˈ ouː ɛ ð l ɪ l ɛ ɣ a r
óeðlilegt	ˈ ouː ɛ ð l ɪ l ɛ x t
óeðlilegum	ˈ ouː ɛ ð l ɪ l ɛ ɣ ʏ m
óeðlilegur	ˈ ouː ɛ ð l ɪ l ɛ ɣ ʏ r
ófeigs	ˈ ouː f ei x s
ófeigur	ˈ ouː f ei ɣ ʏ r
óformlega	ˈ ouː f ɔ r m l ɛ ɣ a
óformlegum	ˈ ouː f ɔ r m l ɛ ɣ ʏ m
óformlegur	ˈ ouː f ɔ r m l ɛ ɣ ʏ r
ófremdarástand	ˈ ouː f r ɛ m t a r ˌ au s t a n t
ófrjálsri	ˈ ouː f r j au l s r ɪ
ófrísk	ˈ ouː f r i s k
ófullnægjandi	ˈ ouː f ʏ t l̥ n ai j a n t ɪ
ófá	ˈ ouː f au
ófáar	ˈ ouː f au a r
ófáir	ˈ ouː f au ɪ r
ófær	ˈ ouː f ai r
ófærir	ˈ ouː f ai r ɪ r
ófærð	ˈ ouː f ai r ð
ófærðar	ˈ ouː f ai r ð a r
ógerlegt	ˈ ouː c ɛ r l ɛ x t
ógert	ˈ ouː c ɛ r̥ t
ógeðfellt	ˈ ouː c ɛ ð f ɛ l̥ t
ógeðsleg	ˈ ouː c ɛ ð s t l ɛ ɣ
ógeðslega	ˈ ouː c ɛ ð s l ˌ ɛ ɣ a
ógeðslegt	ˈ ouː c ɛ ð s t l ɛ x t
ógild	ˈ ouː c ɪ l t
ógilda	ˈ ouː c ɪ l t a
ógildingar	ˈ ouː c ɪ l t i ŋ k a r
ógildingu	ˈ ouː c ɪ l t i ŋ k ʏ
ógildir	ˈ ouː c ɪ l t ɪ r
ógilt	ˈ ouː c ɪ l̥ t
ógleymanleg	ˈ ouː k l ei m a n l ɛ ɣ
ógleymanlegar	ˈ ouː k l ei m a n l ɛ ɣ a r
ógleymanlegt	ˈ ouː k l ei m a n l ɛ x t
ógleymanlegur	ˈ ouː k l ei m a n l ɛ ɣ ʏ r
ógleymdum	ˈ ouː k l ei m t ʏ m
ógleði	ˈ ouː k l ɛ ð ɪ
ógn	ˈ ou k n̥
ógna	ˈ ou k n a
ógnandi	ˈ ou k n a n t ɪ
ógnar	ˈ ou k n a r
ógnarstórum	ˈou k n a r s t ˌou r ʏ m
ógnað	ˈ ou k n a ð
ógnaði	ˈ ou k n a ð ɪ
ógni	ˈ ou k n ɪ
ógnin	ˈ ou k n ɪ n
ógnir	ˈ ou k n ɪ r
ógnun	ˈ ou k n ʏ n
ógnuðu	ˈ ou k n ʏ ð ʏ
ógnvekjandi	ˈ ou k n̥ v ɛ c a n t ɪ
ógrynni	ˈ ouː k r ɪ n ɪ
ógurlega	ˈ ouː ɣ ʏ r l ɛ ɣ a
ógöngum	ˈ ouː k œy ŋ k ʏ m
ógöngunum	ˈ ouː k œy ŋ k ɔ n ʏ m
ógöngur	ˈ ouː k œy ŋ k ʏ r
óhag	ˈ ouː h a ɣ
óhagganleg	ˈ ouː h a k a n l ɛ ɣ
óhagræði	ˈ ouː h a ɣ r ai ð ɪ
óhagstætt	ˈ ouː h a x s t ai h t
óhagstæð	ˈ ouː h a x s t ai ð
óhapp	ˈ ouː h a h p
óhappi	ˈ ouː h a h p ɪ
óhappið	ˈ ouː h a h p ɪ ð
óhefðbundnar	ˈ ouː h ɛ v p ʏ n t n a r
óheimil	ˈ ouː h ei m ɪ l
óheimill	ˈ ouː h ei m ɪ t l̥
óheimilt	ˈ ouː h ei m ɪ l̥ t
óhemju	ˈ ouː h ɛ m j ʏ
óheppileg	ˈ ouː h ɛ h p ɪ l ɛ ɣ
óheppilega	ˈ ouː h ɛ h p ɪ l ɛ ɣ a
óheppilegt	ˈ ouː h ɛ h p ɪ l ɛ x t
óheppin	ˈ ouː h ɛ h p ɪ n
óheppinn	ˈ ouː h ɛ h p ɪ n
óheppni	ˈ ouː h ɛ h p n ɪ
óheppnir	ˈ ouː h ɛ h p n ɪ r
óhikað	ˈ ouː h ɪ k a ð
óhindrað	ˈ ouː h ɪ n t r a ð
óhjákvæmileg	ˈ ouː ç au kʰ v ai m ɪ l ɛ ɣ
óhjákvæmilega	ˈ ouː ç au kʰ v ai m ɪ l ɛ ɣ a
óhjákvæmilegt	ˈ ouː ç au kʰ v ai m ɪ l ɛ x t
óhjákvæmilegur	ˈ ouː ç au kʰ v ai m ɪ l ɛ ɣ ʏ r
óhlutdrægni	ˈ ouː l̥ ʏ t r ai k n ɪ
óhlýðni	ˈ ouː l̥ i ð n ɪ
óhollt	ˈ ouː h ɔ l̥ t
óhreinindi	ˈ ouː r̥ ei n ɪ n t ɪ
óhreinka	ˈ ouː r̥ ei ŋ̊ k a
óhreinn	ˈ ouː r̥ ei t n̥
óhress	ˈ ouː r̥ ɛ s
óhrædd	ˈ ou r̥ ai t
óhræddur	ˈ ouː r̥ ai t ʏ r
óhug	ˈ ouː h ʏ ɣ
óhugsandi	ˈ ouː h ʏ k s a n t ɪ
óháð	ˈ ouː h au ð
óháða	ˈ ouː h au ð a
óháðir	ˈ ouː h au ð ɪ r
óháðra	ˈ ouː h au ð r a
óháðum	ˈ ouː h au ð ʏ m
óháður	ˈ ouː h au ð ʏ r
óhæfur	ˈ ouː h ai v ʏ r
óhætt	ˈ ouː h ai h t
óhóflega	ˈ ouː h ou v l ɛ ɣ a
óhöpp	ˈ ouː h œ h p
óhöppum	ˈ ouː h œ h p ʏ m
ójafnvægi	ˈ ouː j a p n̥ v ai j ɪ
ójöfnuð	ˈ ouː j œ p n ʏ ð
ójöfnuður	ˈ ouː j œ p n ʏ ð ʏ r
ók	ˈ ouː k
ókei	ˈ ouː cʰ ei
ókeypis	ˈ ouː cʰ ei p ɪ s
ókleift	ˈ ouː kʰ l ei f t
ókomin	ˈ ouː kʰ ɔ m ɪ n
ókominn	ˈ ouː kʰ ɔ m ɪ n
ókomna	ˈ ouː kʰ ɔ m n a
ókrýndur	ˈ ouː kʰ r i n t ʏ r
óku	ˈ ouː k ʏ
ókunn	ˈ ouː kʰ ʏ n
ókunnugir	ˈ ouː kʰ ʏ n ʏi j ɪ r
ókunnugum	ˈ ouː kʰ ʏ n ʏ ɣ ʏ m
ókunnugur	ˈ ouː kʰ ʏ n ʏ ɣ ʏ r
ókunnur	ˈ ouː kʰ ʏ n ʏ r
ókvæða	ˈ ouː kʰ v ai ð a
ókvæðisorð	ˈ ouː kʰ v ai ð ɪ s ˌ ɔ r ð
ókyrrist	ˈouː cʰ ɪ r ɪ s t
ókyrrð	ˈ ouː cʰ ɪ r ð
ól	ˈ ouː l
óla	ˈ ouː l a
óladóttir	ˈ ouː l a t ˌ ou h t ɪ r
ólaf	ˈ ouː l a v
ólafar	ˈ ouː l a f ˌ a r
ólafi	ˈ ouː l a v ɪ
ólafs	ˈ ouː l a f s
ólafsdóttir	ˈ ouː l a f s t ˌ ou h t ɪ r
ólafsdóttur	ˈ ouː l a f s t ˌ ou h t ʏ r
ólafsfirði	ˈ ouː l a f s f ˌ ɪ r ð ɪ
ólafsfjarðar	ˈ ouː l a f s f j ˌ a r ð a r
ólafsfjörð	ˈ ouː l a f s f j ˌ œ r ð
ólafsson	ˈ ouː l a f s s ˌ ɔ n
ólafssonar	ˈ ouː l a f s s ˌ ɔ n a r
ólafssyni	ˈ ouː l a f s s ˌ ɪ n ɪ
ólafsvík	ˈ ouː l a f s v ˌ i k
ólafsvíkur	ˈ ouː l a f s v ˌ i k ʏ r
ólafsvíkurkirkju	ˈouː l a f s v i k ʏ r cʰ ˌɪ r̥ c ʏ
ólafur	ˈ ouː l a v ʏ r
ólafía	ˈ ouː l a v i j a
ólafíu	ˈ ouː l a v i j ʏ
ólason	ˈ ouː l a s ˌ ɔ n
ólestri	ˈ ouː l ɛ s t r ɪ
óleyst	ˈ ouː l ei s t
ólga	ˈ ou l k a
ólgu	ˈ ou l k ʏ
ólgusjó	ˈ ou l k ʏ s j ˌ ou
óli	ˈ ouː l ɪ
óliver	ˈ ouː l ɪ v ˌ ɛ r
óljós	ˈ ouː l j ou s
óljósar	ˈ ouː l j ou s a r
óljósri	ˈ ouː l j ou s r ɪ
óljóst	ˈ ouː l j ou s t
ólmur	ˈ ou l m ʏ r
ólokið	ˈ ouː l ɔ c ɪ ð
ólst	ˈ ou l s t
ólu	ˈ ouː l ʏ
ólumst	ˈ ouː l ʏ m s t
ólust	ˈ ouː l ʏ s t
ólykt	ˈ ouː l ɪ x t
ólympíugreinum	ˈouː l ɪ m pʰ i j ʏ k r ˌei n ʏ m
ólympíuleika	ˈ ouː l ɪ m pʰ i j ʏ l ˌ ei k a
ólympíuleikana	ˈ ouː l ɪ m pʰ i j ʏ l ˌ ei k a n a
ólympíuleikanna	ˈ ouː l ɪ m pʰ i j ʏ l ˌ ei k a n a
ólympíuleikarnir	ˈ ouː l ɪ m pʰ i j ʏ l ˌ ei k a r t n ɪ r
ólympíuleikum	ˈ ouː l ɪ m pʰ i j ʏ l ˌ ei k ʏ m
ólympíuleikunum	ˈ ouː l ɪ m pʰ i j ʏ l ˌ ei k ɔ n ʏ m
ólympíuleikvanginum	ˈ ouː l ɪ m pʰ i j ʏ l ei k v au ɲ c ɪ n ʏ m
