aaron	a: r O n
skerða	s c E r D a
skeyti	s c ei: t I
skikkanlega	s c I h k a n l E G a
skikkanlegu	s c I h k a n l E G Y
skil	s c I: l
skila	s c I: l a
skilaboð	s c I: l a p O D
skilaboðin	s c I: l a p O D I n
skilaboðum	s c I: l a p O D Y m
skilafrests	s c I: l a f r E s t s
skilanefnd	s c I: l a n E m t
skilað	s c I: l a D
skilaði	s c I: l a D I
skilgreina	s c I l k r ei n a
skilgreind	s c I l k r ei n t
skilgreining	s c I l k r ei n i N k
skilgreiningu	s c I l k r ei n i N k Y
skilgreint	s c I l k r ei n_0 t
skilin	s c I: l I n
skilinn	s c I: l I n
skilið	s c I: l I D
skilja	s c I l j a
skiljanlega	s c I l j a n l E G a
skiljanlegt	s c I l j a n l E x t
skiljanlegur	s c I l j a n l E G Y r
skilji	s c I l j I
skilmála	s c I l m au l a
skilmálum	s c I l m au l Y m
skilnað	s c I l n a D
skilningi	s c I l n i J c I
skilnings	s c I l n i N s
skilningsrík	s c I l n i N s r i k
skilningsríkur	s c I l n i N s r i k Y r
skilningsvana	s c I l n i N s v a n a
skilningur	s c I l n i N k Y r
skilorðsbundið	s c I: l O r D s p Y n t I D
skilst	s c I l s t
skilum	s c I: l Y m
skiluðu	s c I: l Y D Y
skilvinduásnum	s c I l v I n t Y au s t n Y m
skilvirkt	s c I l v I r_0 t
skilyrði	s c I: l I r D I
skimprófi	s c I: m p_h r ou v I
skin	s c I: n
skinn	s c I n
skinna	s c I n a
skinnúlpu	s c I n u l_0 p Y
skip	s c I: p
skipa	s c I: p a
skipaskurður	s c I: p a s k Y r D Y r
skipasmiður	s c I: p a s m I D Y r
skipaðir	s c I: p a D I r
skipaðs	s c I: p a D s
skipholts	s c I: p h O l_0 s
skipi	s c I: p I
skipið	s c I: p I D
skiprúm	s c I: p r u m
skips	s c I p s
skipstjóri	s c I p s t j ou r I
skipt	s c I f t
skipta	s c I f t a
skiptanna	s c I f t a n a
skiptar	s c I f t a r
skiptara	s c I f t a r a
skiptast	s c I f t a s t
skiptastjóra	s c I f t a s t j ou r a
skiptastjóri	s c I f t a s t j ou r I
skipti	s c I f t I
skiptiborð	s c I f t I p O r D
skiptin	s c I f t I n
skiptinemi	s c I f t I n E m I
skipting	s c I f t i N k
skiptingar	s c I f t i N k a r
skiptingu	s c I f t i N k Y
skiptinguna	s c I f t i N k Y n a
skiptingunni	s c I f t i N k Y n I
skiptir	s c I f t I r
skiptis	s c I f t I s
skiptist	s c I f t I s t
skiptivélin	s c I f t I v j E l I n
skiptið	s c I f t I D
skiptu	s c I f t Y
skiptumst	s c I f t Y m s t
skiptust	s c I f t Y s t
skipulagi	s c I: p Y l ai j I
skipulagningu	s c I: p Y l a k n i N k Y
skipulagsnefndar	s c I: p Y l a x s t n E m t a r
skipulagsstofnun	s c I: p Y l a x s t O p n Y n
skipulagsstofnunar	s c I p Y l a x s t O p n Y n a r
skipulega	s c I: p Y l E G a
skipulögð	s c I: p Y l 9 G D
skipun	s c I: p Y n
skipunum	s c I: p O n Y m
skipuðu	s c I: p Y D Y
skipverjar	s c I: p v E r j a r
skipverjarnir	s c I: p v E r j a r t n I r
skipverji	s c I: p v E r j I
skissa	s c I s a
skjal	s c a: l
skjalamöppuna	s c a: l a m 9 h p Y n a
skjaldarmerki	s c a l t a r m E r_0 c I
skjalfestur	s c a l f E s t Y r
skjálfa	s c au l v a
skjálfraddaður	s c au l v r a t a D Y r
skjálfrödduð	s c au l v r 9 t Y D
skjálfta	s c au l_0 t a
skjálftann	s c au l_0 t a n
skjálftanum	s c au l_0 t a n Y m
skjálftar	s c au l_0 t a r
skjálfti	s c au l_0 t I
skjálftinn	s c au l_0 t I n
skjár	s c au: r
skjól	s c ou: l
skjóta	s c ou: t a
skjótt	s c ou h t
skjöl	s c 9 l
skjöldu	s c 9 l t Y
skjöldungum	s c 9 l t u N k Y m
skjöldur	s c 9 l t Y r
skjölum	s c 9: l Y m
sko	s k O:
skokka	s k O h k a
skolbrúnn	s k O l p r u t n_0
skolli	s k O t l I
skoppa	s k O h p a
skoppuðu	s k O h p Y D Y
skora	s k O: r a
skorað	s k O: r a D
skoraði	s k O: r a D I
skordýr	s k O r t i r
skorin	s k O: r I n
skornum	s k O r t n Y m
skorpu	s k O r_0 p Y
skort	s k O r_0 t
skorts	s k O r_0 t s
skortur	s k O r_0 t Y r
skoruðu	s k O: r Y D Y
skorðum	s k O r D Y m
skorður	s k O r D Y r
skoska	s k O s k a
skot	s k O: t
skoti	s k O: t I
skotin	s k O: t I n
skotinn	s k O: t I n
skotkeppninnar	s k O t c_h E h p n I n a r
skotland	s k O t l a n t
skotlandi	s k O: t l a n t I
skotlands	s k O t l a n t s
skott	s k O h t
skotum	s k O: t Y m
skotvopn	s k O: t v O h p n
skoða	s k O: D a
skoðanakannanir	s k O: D a n a k_h a n a n I r
skoðanakönnunum	s k O: D a n a k_h 9 n Y n Y m
skoðanaskipta	s k O: D a n a s c I f t a
skoðanaskipti	s k O: D a n a s c I f t I
skoðanir	s k O: D a n I r
skoðar	s k O: D a r
skoðað	s k O: D a D
skoðaðar	s k O: D a D a r
skoði	s k O: D I
skoðum	s k O: D Y m
skoðun	s k O: D Y n
skoðunar	s k O: D Y n a r
skoðunum	s k O: D Y n Y m
skoðuð	s k O: D Y D
skrafað	s k r a: v a D
skrapp	s k r a h p
skraut	s k r 9i: t
skrautlega	s k r 9i: t l E G a
skrautleggingar	s k r 9i t l E c i N k a r
skref	s k r E: f
skreppa	s k r E h p a
skrepptu	s k r E f t Y
skreyta	s k r ei: t a
skrif	s k r I: v
skrifa	s k r I: v a
skrifar	s k r I: v a r
skrifað	s k r I: v a D
skrifaði	s k r I: v a D I
skrifborðsskúffuna	s k r I p O r s k u f Y n a
skrifborðsskúffurnar	s k r I v p O r D s k u f Y r t n a r
skriflega	s k r I v l E G a
skriflegur	s k r I v l E G Y r
skrifstofa	s k r I f s t O v a
skrifstofukompu	s k r I f s t O v Y k_h O m_0 p Y
skrifstofur	s k r I f s t O v Y r
skrifstofustjóri	s k r I f s t O v Y s t j ou r I
skrifstofusvæðið	s k r I f s t O v Y s v ai D I D
skrifum	s k r I: v Y m
skrifuðu	s k r I: v Y D Y
skrið	s k r I: D
skriðdreki	s k r I D t r E c I
skriðsund	s k r I D s Y n t
skrokki	s k r O h c I
skrá	s k r au:
skráning	s k r au: n i N k
skráningarskylda	s k r au: n i N k a r_0 s c I l t a
skráningarskyldir	s k r au: n i N k a r_0 s c I l t I r
skránni	s k r au n I
skrásetja	s k r au: s E t j a
skráð	s k r au: D
skráðar	s k r au: D a r
skráði	s k r au: D I
skrímsli	s k r i m s t l I
skrítið	s k r i: t I D
skríða	s k r i: D a
skrúbba	s k r u p a
skrúbbkrem	s k r u p k_h r E m
skrúðganga	s k r u D k au N k a
skugga	s k Y k a
skuggamyndir	s k Y k a m I n t I r
skuggi	s k Y c I
skuggsælum	s k Y k s ai l Y m
skuggsýnt	s k Y k s i n_0 t
skuggum	s k Y k Y m
skuggunum	s k Y k O n Y m
skulda	s k Y l t a
skuldabréfa	s k Y l t a p r j E v a
skuldabréfum	s k Y l t a p r j E v Y m
skuldari	s k Y l t a r I
skuldavanda	s k Y l t a v a n t a
skuldbundið	s k Y l t p Y n t I D
skuldir	s k Y l t I r
skuli	s k Y: l I
skulu	s k Y: l Y
skulum	s k Y: l Y m
skuplu	s k Y h p l Y
skurðaðgerð	s k Y r D a D c E r D
skurðlæknirinn	s k Y r D l ai h k n I r I n
skutla	s k Y h t l a
skutu	s k Y: t Y
skvampið	s k v a m_0 p I D
skyggja	s c I c a
skyggna	s c I k n a
skyggni	s c I k n I
skyggnst	s c I N s t
skyggði	s c I G D I
skyggðu	s c I G D Y
skylda	s c I l t a
skyldi	s c I l t I
skyldleikatengsl	s c I l t l ei k a t_h ei N s t l_0
skyldu	s c I l t Y
skyldutrygging	s c I l t Y t_h r I c i N k
skylt	s c I l_0 t
skyn	s c I: n
skyndihjálp	s c I n t I C au l_0 p
skynja	s c I n j a
skynjun	s c I n j Y n
skynsamlegt	s c I n s a m l E x t
skynsemi	s c I n s E m I
skyr	s c I: r
skytta	s c I h t a
skák	s k au: k
skákþingi	s k au k T i J c I
skál	s k au: l
skála	s k au: l a
skáld	s k au l t
skáldsaga	s k au l t s a G a
skáldsagan	s k au l t s a G a n
skáldsagna	s k au l t s a k n a
skáldsagnagerð	s k au l t s a k n a c E r D
skáldsins	s k au l t s I n s
skáldskap	s k au l t s k a p
skáldskapar	s k au l t s k a p a r
skáldskapinn	s k au l t s k a p I n
skáldskapnum	s k au l t s k a h p n Y m
skáldskapur	s k au l t s k a p Y r
skáldskapurinn	s k au l t s k a p Y r I n
skáldsögu	s k au l t s 9 G Y
skáldsögum	s k au l t s 9 G Y m
skáldsögunni	s k au l t s 9 G Y n I
skáldsögur	s k au l t s 9 G Y r
skálholts	s k au l h O l_0 t s
skálholtsdómkirkja	s k au l h O l_0 t s t ou m c_h I r_0 c a
skálholtskirkja	s k au l h O l_0 t s c_h I r_0 c a
skálholtskirkju	s k au l h O l_0 t s c_h I r_0 c Y
skálholtsskóla	s k au l h O l_0 t s k ou l a
skálholtsstað	s k au l h O l_0 t s t a D
skálpatrénu	s k au l_0 p a t_h r j E n Y
skán	s k au: n
skána	s k au: n a
skápur	s k au: p Y r
skárra	s k au r a
skárri	s k au r I
skátastarfsins	s k au: t a s t a r f s I n s
skáti	s k au: t I
skær	s c ai: r
skæri	s c ai: r I
skæringsdóttir	s c ai: r i N s t ou h t I r
skína	s c i: n a
skíra	s c i: r a
skírskota	s c i r_0 s k O t a
skírteini	s c i r_0 t ei n I
skíta	s c i: t a
skítblankir	s c i: t p l au J_0 c I r
skítt	s c i h t
skítugur	s c i: t Y G Y r
skíða	s c i: D a
skíði	s c i: D I
skó	s k ou:
skóf	s k ou: f
skógarplantna	s k ou: G a r_0 p_h l a n_0 t n a
skógræktarstofnanir	s k ou G r ai x t a r_0 s t O p n a n I r
skógur	s k ou: Y r
skóla	s k ou: l a
skólabyggingar	s k ou: l a p I c i N k a r
skólafulltrúinn	s k ou: l a f Y t l_0 t_h r u I n
skólagöngu	s k ou: l a k 9i N k Y
skólahúsnæði	s k ou: l a h u s t n ai D I
skólana	s k ou: l a n a
skólanefndar	s k ou: l a n E m t a r
skólanefndina	s k ou: l a n E m t I n a
skólanna	s k ou: l a n a
skólans	s k ou: l a n s
skólanum	s k ou: l a n Y m
skólar	s k ou: l a r
skólastarfs	s k ou: l a s t a r f s
skólastarfsins	s k ou: l a s t a r f s I n s
skólastelpa	s k ou: l a s t E l_0 p a
skólastjóra	s k ou: l a s t j ou r a
skólaár	s k ou: l a au r
skóli	s k ou: l I
skólpgöng	s k ou l_0 p k 9i N k
skólpveitu	s k ou l_0 p v ei t Y
skólunum	s k ou: l O n Y m
skóm	s k ou: m
skóna	s k ou: n a
skór	s k ou: r
skósmiður	s k ou s m I D Y r
sköflungum	s k 9 p l u N k Y m
skömm	s k 9 m
skömmtum	s k 9 m_0 t Y m
skömmu	s k 9 m Y
skömmum	s k 9 m Y m
sköp	s k 9: p
sköpulag	s k 9: p Y l a G
sköpum	s k 9: p Y m
skörpum	s k 9 r_0 p Y m
skörunginn	s k 9: r u J c I n
skörungnum	s k 9: r u N n Y m
skörðugili	s k 9 r D Y c I l I
skúffu	s k u f Y
skúffuna	s k u f Y n a
skúffunum	s k u f O n Y m
skúffur	s k u f Y r
skúffurnar	s k u f Y r t n a r
skúfuggar	s k u: v Y k a r
skúla	s k u: l a
skúladóttir	s k u: l a t ou h t I r
skúli	s k u: l I
skúlptúr	s k u l_0 t u r
skúlptúra	s k u l_0 t u r a
skúlptúrar	s k u l_0 t u r a r
skútustaðahrepp	s k u: t Y s t a D a r_0 E h p
skútustaðahrepps	s k u: t Y s t a D a r_0 E h p s
ský	s c i:
skýjað	s c i: j a D
skýla	s c i: l a
skýlaust	s c i: l 9i s t
skýli	s c i: l I
skýr	s c i: r
skýra	s c i: r a
skýrast	s c i: r a s t
skýring	s c i: r i N k
skýringa	s c i: r i N k a
skýringum	s c i: r i N k Y m
skýrir	s c i: r I r
skýrist	s c i: r I s t
skýrsla	s c i r_0 s t l a
skýrslan	s c i r_0 s t l a n
skýrslu	s c i r_0 s t l Y
skýrslum	s c i r_0 s t l Y m
skýrslumöppuna	s c i r_0 s t l Y m 9 h p Y n a
skýrsluna	s c i r_0 s t l Y n a
skýrslunnar	s c i r_0 s t l Y n a r
skýrslunni	s c i r_0 s t l Y n I
skýrslur	s c i r_0 s t l Y r
skýrslurnar	s c i r_0 s t l Y r t n a r
skýrst	s c i r_0 s t
skýrt	s c i r_0 t
skýrum	s c i: r Y m
slag	s t l a: G
slagi	s t l ai j I
slagsmál	s t l a x s m au l
slaka	s t l a: k a
slakna	s t l a h k n a
slakur	s t l a: k Y r
slanga	s t l au N k a
slapp	s t l a h p
slappan	s t l a h p a n
slappur	s t l a h p Y r
slasa	s t l a: s a
slasast	s t l a: s a s t
slasaður	s t l a: s a D Y r
slatti	s t l a h t I
slefa	s t l E: v a
sleggju	s t l E c Y
slegið	s t l ei j I D
sleikja	s t l ei: c a
sleikjó	s t l ei: c ou
sleipnis	s t l ei h p n I s
slengdi	s t l ei N t I
slepp	s t l E h p
sleppa	s t l E h p a
sleppi	s t l E h p I
sleppti	s t l E f t I
slepptu	s t l E f t Y
sletta	s t l E h t a
sleðakeppni	s t l E: D a c_h E h p n I
slipp	s t l I h p
slitameðferð	s t l I: t a m E D f E r D
slitastjórn	s t l I: t a s t j ou r t n_0
slitastjórnar	s t l I: t a s t j ou r t n a r
slitna	s t l I h t n a
slokknuðu	s t l O h k n Y D Y
sloppi	s t l O h p I
sloppið	s t l O h p I D
slunginn	s t l u J c I n
slunkaríki	s t l u N_0 k a r i c I
slydda	s t l I t a
slyngur	s t l i N k Y r
slys	s t l I: s
slysa	s t l I: s a
slysi	s t l I: s I
slysinu	s t l I: s I n Y
slysni	s t l I s t n I
slyssins	s t l I s I n s
slysum	s t l I: s Y m
slá	s t l au:
slátra	s t l au: t r a
sláttur	s t l au h t Y r
slátur	s t l au: t Y r
slægur	s t l ai: G Y r
slæmar	s t l ai: m a r
slésvík	s t l j E: s v i k
slétta	s t l j E h t a
sléttlendi	s t l j E h t l E n t I
sléttur	s t l j E h t Y r
slík	s t l i: k
slíka	s t l i: k a
slíkar	s t l i: k a r
slíkir	s t l i: c I r
slíkrar	s t l i: k r a r
slíkri	s t l i: k r I
slíkt	s t l i x t
slíku	s t l i: k Y
slíkum	s t l i: k Y m
slíkur	s t l i: k Y r
slím	s t l i: m
slíta	s t l i: t a
slóvakíu	s t l ou: v a c_h i j Y
slóveníu	s t l ou: v E n i j Y
slóð	s t l ou: D
slóðir	s t l ou: D I r
slökkt	s t l 9 x t
slökktu	s t l 9 x t Y
slökkva	s t l 9 h k v a
slökkviliði	s t l 9 h k v I l I D I
slökkviliðið	s t l 9 h k v I l I D I D
slökkviliðsmenn	s t l 9 h k v I l I D s m E n
slönguna	s t l 9i N k Y n a
slöpp	s t l 9 h p
slösuðust	s t l 9: s Y D Y s t
slúður	s t l u: D Y r
slúðurdálk	s t l u: D Y r_0 t au l_0 k
smakka	s m a h k a
smali	s m a: l I
smekk	s m E h k
smekklegur	s m E h k l E G Y r
smekkur	s m E h k Y r
smella	s m E t l a
smellpassar	s m E t l_0 p_h a s a r
smelltu	s m E l_0 t Y
smit	s m I: t
smitast	s m I: t a s t
smith	s m I T
smiðja	s m I D j a
smiður	s m I: D Y r
smjör	s m j 9: r
smokkfisksins	s m O h k f I s k s I n s
smokkfisksúpa	s m O h k f I s k s u p a
smokkur	s m O h k Y r
smyrsl	s m I r_0 s t l_0
smá	s m au:
smáatriði	s m au: a t_h r I D I
smáatriðum	s m au: a t_h r I D Y m
smáatriðunum	s m au: a t r I D O n Y m
smára	s m au: r a
smáralind	s m au: r a l I n t
smárason	s m au: r a s O n
smári	s m au: r I
smásaga	s m au: s a G a
smásjá	s m au: s j au
smásjárfrjóvgun	s m au: s j au r_0 f r j ou v k Y n
smásjármyndum	s m au: s j au r m I n t Y m
smástelpa	s m au s t E l_0 p a
smásöluverslun	s m au: s 9 l Y v E r_0 s t l Y n
smávegis	s m au: v ei j I s
smíð	s m i: D
smíða	s m i: D a
smíðum	s m i: D Y m
snaffs	s t n a f s
snafsi	s t n a f s I
snakahvítu	s t n a: k a k_h v i t Y
snakki	s t n a h c I
snarað	s t n a: r a D
snarbjartar	s t n a: r p j a r_0 t a r
snarbratta	s t n a: r p r a h t a
snarbrattar	s t n a: r p r a h t a r
snarheitum	s t n a: r h ei t Y m
snarhemlaði	s t n a: r h E m l a D I
snarkandi	s t n a r_0 k a n t I
snarkið	s t n a r_0 c I D
snarl	s t n a r t l
snarpur	s t n a r_0 p Y r
snefil	s t n E: v I l
snefill	s t n E: v I t l_0
sneggri	s t n E k r I
sneið	s t n ei: D
sneiða	s t n ei: D a
sneiðina	s t n ei: D I n a
sneiðskratti	s t n ei D s k r a h t I
snemma	s t n E m a
snemmt	s t n E m_0 t
sneri	s t n E: r I
snerpu	s t n E r_0 p Y
snerta	s t n E r_0 t a
snertanlegu	s t n E r_0 t a n l E G Y
snertast	s t n E r_0 t a s t
snerti	s t n E r_0 t I
snerting	s t n E r_0 t i N k
snertingu	s t n E r_0 t i N k Y
snertir	s t n E r_0 t I r
snertu	s t n E r_0 t Y
sniff	s t n I f
sniglaðist	s t n I k l a D I s t
snilld	s t n I l t
snilldar	s t n I l t a r
snilldarhugmynd	s t n I l t a r_0 h Y G m I n t
snillingur	s t n I t l i N k Y r
snið	s t n I: D
sniðganga	s t n I D k au N k a
sniðin	s t n I: D I n
sniðinn	s t n I: D I n
sniðið	s t n I: D I D
sniðtalningar	s t n I D t_h a l n i N k a r
sniðug	s t n I: D Y G
sniðugan	s t n I: D Y G a n
sniðugt	s t n I: D Y x t
sniðum	s t n I: D Y m
snjall	s t n j a t l_0
snjókoma	s t n j ou: k_h O m a
snjór	s t n j ou: r
snobb	s t n O p
snobbpíkum	s t n O p p_h i k Y m
snobbuð	s t n O p Y D
snorrasonar	s t n O r a s O n a r
snuð	s t n Y: D
snáfa	s t n au: v a
snákur	s t n au: k Y r
snákurinn	s t n au: k Y r I n
snæfells	s t n ai: f E l s
snæfellsbæ	s t n ai: f E l s p ai
snæfellsbæjar	s t n ai: f E l s p ai j a r
snæfellsbær	s t n ai: f E l s p ai r
snæfellsjökli	s t n ai: f E l s j 9 h k l I
snæfellsjökul	s t n ai: f E l s j 9 k Y l
snæfellsjökull	s t n ai: f E l s j 9 k Y t l_0
snæfellsnes	s t n ai: f E l s t n E s
snæfellsnesi	s t n ai: f E l s t n E s I
snæfellsport	s t n ai: f E l s p O r_0 t
snæfríður	s t n ai f r i D Y r
snær	s t n ai: r
snæri	s t n ai: r I
snævarr	s t n ai: v a r
snéri	s t n E: r I
sníkja	s t n i: c a
snípur	s t n i: p Y r
sníða	s t n i: D a
snöggklippt	s t n 9 k k l I f t
snöggur	s t n 9 k Y r
snúa	s t n u: a
snúi	s t n u: I
snúningsásnum	s t n u: n i N s au s t n Y m
snúður	s t n u: D Y r
snýst	s t n i s t
sofa	s O: v a
sofandi	s O: v a n t I
soffa	s O f a
soffía	s O f i j a
soffíu	s O f i j Y
sofið	s O: v I D
sofna	s O p n a
sogtöppum	s O G t_h 9 h p Y m
sokkinn	s O h c I n
solla	s O l a
sonar	s O: n a r
soninn	s O: n I n
sonja	s O n j a
sonum	s O: n Y m
sonur	s O: n Y r
sony	s ou: n i
sorg	s O r k
sorginni	s O r c I n I
sorglegt	s O r k l E x t
sorpgeymslu	s O r_0 p c ei m s t l Y
sorphirðu	s O r_0 p h I r D Y
sorpmálum	s O r_0 p m au l Y m
sorps	s O r_0 p s
sortna	s O r_0 t n a
sovétríkjanna	s O v j E t r i c a n a
sparað	s p a: r a D
sparisjóð	s p a: r I s j ou D
sparisjóða	s p a: r I s j ou D a
sparisjóði	s p a: r I s j ou D I
sparisjóðir	s p a: r I s j ou D I r
sparisjóðirnir	s p a: r I s j ou D I r t n I r
sparisjóðnum	s p a: r I s j ou D n Y m
sparisjóðs	s p a: r I s j ou D s
sparisjóðsins	s p a: r I s j ou D s I n s
sparisjóðsstjóra	s p a: r I s j ou D s t j ou r a
sparisjóðsstjóri	s p a: r I s j ou D s t j ou r I
sparisjóðum	s p a: r I s j ou D Y m
sparisjóðunum	s p a: r I s j ou D O n Y m
sparisjóður	s p a: r I s j ou D Y r
sparisjóðurinn	s p a: r I s j ou D Y r I n
sparka	s p a r_0 k a
sparkað	s p a r_0 k a D
sparkspeking	s p a r_0 k s p E c i N k
sparnað	s p a r t n a D
sparnaður	s p a r t n a D Y r
spaug	s p 9i: G
spauga	s p 9i: G a
spaugi	s p 9i j I
spaugilegt	s p 9i j I l E x t
spaugilegu	s p 9i j I l E G Y
spað	s p a: D
spegill	s p ei j I t l_0
speki	s p E: c I
spekingslega	s p E: c i N s t l E G a
spekingslegur	s p E: c i N s t l E G Y r
spendýr	s p E n t i r
spenna	s p E n a
spennan	s p E n a n
spennandi	s p E n a n t I
spennt	s p E n_0 t
spenntir	s p E n_0 t I r
spenntur	s p E n_0 t Y r
spennu	s p E n Y
spergilkál	s p E r c I l k_h au l
sperringur	s p E r i N k Y r
sperrist	s p E r I s t
spil	s p I: l
spila	s p I: l a
spilar	s p I: l a r
spilaranum	s p I: l a r a n Y m
spilað	s p I: l a D
spilaði	s p I: l a D I
spilaður	s p I: l a D Y r
spilling	s p I t l i N k
spillt	s p I l_0 t
spillti	s p I l_0 t I
spilltir	s p I l_0 t I r
spilum	s p I: l Y m
spiluð	s p I: l Y D
spiluðu	s p I: l Y D Y
spinna	s p I n a
spinnerspúnn	s p I n E r_0 s p u t n_0
spjald	s p j a l t
spjalla	s p j a t l a
spjallað	s p j a t l a D
spjót	s p j ou: t
splundraðist	s p l Y n t r a D I s t
splæsa	s p l ai: s a
spor	s p O: r
sports	s p O r_0 t s
sporum	s p O: r Y m
sprakk	s p r a h k
sprauta	s p r 9i: t a
sprengd	s p r ei N t
sprengdar	s p r ei N t a r
sprengdi	s p r ei N t I
sprenging	s p r ei J c i N k
sprengivarginn	s p r ei J c I v a r c I n
sprengja	s p r ei J c a
sprengjuárás	s p r ei J c Y au r au s
sprengt	s p r ei N_0 t
spretta	s p r E h t a
sprettur	s p r E h t Y r
spreyta	s p r ei: t a
springa	s p r i N k a
spron	s p r O n
sprunga	s p r u N k a
sprungin	s p r u J c I n
sprunginn	s p r u J c I n
sprungið	s p r u J c I D
sprungna	s p r u N n a
sprungnar	s p r u N n a r
sprungnu	s p r u N n Y
sprungu	s p r u N k Y
sprungum	s p r u N k Y m
spryngi	s p r i J c I
spurning	s p Y r t n i N k
spurningakeppni	s p Y r t n i N k a c_h E h p n I
spurningakeppninni	s p Y r t n i N k a c_h E h p n I n I
spurningar	s p Y r t n i N k a r
spurningum	s p Y r t n i N k Y m
spurninguna	s p Y r t n i N k Y n a
spurningunni	s p Y r t n i N k Y n I
spurs	s p Y r_0 s
spurst	s p Y r_0 s t
spurt	s p Y r_0 t
spurði	s p Y r D I
spurðir	s p Y r D I r
spurður	s p Y r D Y r
spyr	s p I: r
spyrja	s p I r j a
spyrnti	s p I n_0 t I
spá	s p au:
spámaður	s p au: m a D Y r
spánar	s p au: n a r
spáni	s p au: n I
spánn	s p au t n_0
spánni	s p au n I
spánska	s p au n s k a
spánskt	s p au n s t
spánverjar	s p au n v E r j a r
spánverji	s p au n v E r j I
spár	s p au: r
spæla	s p ai: l a
spænska	s p ai n s k a
spínat	s p i: n a t
spíra	s p i: r a
spítalans	s p i: t a l a n s
spítalanum	s p i: t a l a n Y m
spítali	s p i: t a l I
spói	s p ou: I
spónn	s p ou t n_0
stabæk	s t a p E h k
staddir	s t a t I r
stafa	s t a: v a
stafafura	s t a: v a f Y r a
stafar	s t a: v a r
stafaði	s t a: v a D I
stafi	s t a: v I
stafla	s t a p l a
stafrænna	s t a v r ai t n a
stafrænni	s t a v r ai t n I
stafsetja	s t a f s E t j a
stafur	s t a: v Y r
stak	s t a: k
stakkinn	s t a h c I n
staldra	s t a l t r a
stallsystrum	s t a t l_0 s I s t r Y m
stamford	s t a m f O r t
standa	s t a n t a
standard	s t a n t a r t
standi	s t a n t I
standist	s t a n t I s t
stansa	s t a n s a
stappa	s t a h p a
stappaði	s t a h p a D I
stappfull	s t a h p f Y t l_0
star	s t a r
starf	s t a r f
starfa	s t a r v a
starfandi	s t a r v a n t I
starfar	s t a r v a r
starfað	s t a r v a D
starfaði	s t a r v a D I
starfi	s t a r v I
starfrækt	s t a r v r ai x t
starfs	s t a r f s
starfsafmæli	s t a r f s a v m ai l I
starfsaldur	s t a r f s a l t Y r
starfsanda	s t a r f s a n t a
starfsaðferðir	s t a r f s a D f E r D I r
starfsaðstöðu	s t a r f s a D s t 9 D Y
starfsbrautar	s t a r f s p r 9i t a r
starfsbræðrum	s t a r f s p r ai D r Y m
starfsbræður	s t a r f s p r ai D Y r
starfsbróður	s t a r f s p r ou D Y r
starfsdagur	s t a r f s t a G Y r
starfsemi	s t a r f s E m I
starfsemina	s t a r f s E m I n a
starfseminnar	s t a r f s E m I n a r
starfseminni	s t a r f s E m I n I
starfsemis	s t a r f s E m I s
starfsendurhæfingu	s t a r f s E n t Y r_0 h ai v i N k Y
starfsferil	s t a r f s f E r I l
starfsferli	s t a r f s f E r t l I
starfsframa	s t a r f s f r a m a
starfsfélaga	s t a r f s f j E l a G a
starfsfólk	s t a r f s f ou l_0 k
starfsfólki	s t a r f s f ou l_0 c I
starfsfólkinu	s t a r f s f ou l_0 c I n Y
starfsfólkið	s t a r f s f ou l_0 c I D
starfsfólksins	s t a r f s f ou l_0 k s I n s
starfsgrein	s t a r f s k r ei n
starfsgreinar	s t a r f s k r ei n a r
starfsgreinaráð	s t a r f s k r ei n a r au D
starfsgreinasambandsins	s t a r f s k r ei n a s a m p a n t s I n s
